"Id","Status","Reason","Loc"
"01-01-03-019","MATCH-NORMALIZED","","index.html:311-312"
"01-01-03-020","MATCH-NORMALIZED","","index.html:315"
"01-01-03-021","MATCH-NORMALIZED","","index.html:316"
"01-01-03-022","MATCH-NORMALIZED","","index.html:318"
"01-01-03-023","MATCH-NORMALIZED","","index.html:320"
"01-01-03-024","MATCH-NORMALIZED","","index.html:322"
"01-01-03-025","MATCH-EXACT","","index.html:326"
"01-01-03-026","MATCH-NORMALIZED","","index.html:331"
"01-01-03-027","MATCH-NORMALIZED","","index.html:338"
"01-01-03-028","MATCH-NORMALIZED","","index.html:339"
"01-01-03-029","MATCH-NORMALIZED","","index.html:349"
"01-01-03-030","MATCH-NORMALIZED","","index.html:350"
"01-01-03-031","MATCH-NORMALIZED","","index.html:351"
"01-01-03-032","MATCH-NORMALIZED","","index.html:352"
"01-01-03-033","MATCH-NORMALIZED","","index.html:353"
"01-01-03-034","MATCH-NORMALIZED","","index.html:355"
"01-01-03-035","MATCH-NORMALIZED","","index.html:356"
"01-01-03-036","MATCH-NORMALIZED","","index.html:357"
"01-01-03-037","MATCH-NORMALIZED","","index.html:358"
"01-01-03-038","MATCH-NORMALIZED","","index.html:363"
"01-01-03-039","MATCH-NORMALIZED","","index.html:366"
"01-01-03-040","MATCH-NORMALIZED","","index.html:379"
"01-01-03-041","MATCH-NORMALIZED","","index.html:382"
"01-01-03-042","MATCH-NORMALIZED","","index.html:395"
"01-01-03-043","MATCH-NORMALIZED","","index.html:398"
"01-01-03-044","MATCH-NORMALIZED","","index.html:411"
"01-01-03-045","MATCH-NORMALIZED","","index.html:414"
"01-01-03-046","MATCH-NORMALIZED","","index.html:427"
"01-01-03-047","MATCH-NORMALIZED","","index.html:430-431"
"01-01-03-048","MATCH-NORMALIZED","","index.html:435"
"01-01-03-049","MATCH-NORMALIZED","","index.html:447"
"01-01-03-050","MATCH-NORMALIZED","","index.html:448"
"01-01-03-051","MATCH-NORMALIZED","","index.html:452"
"01-01-03-052","MATCH-NORMALIZED","","index.html:453"
"01-01-03-053","MATCH-NORMALIZED","","index.html:456-457"
"01-01-03-054","MATCH-NORMALIZED","","index.html:460-461"
"01-01-03-055","MATCH-EXACT","","index.html:464"
"01-01-04-001","MATCH-NORMALIZED","","index.html:483"
"01-01-04-002","MATCH-NORMALIZED","","index.html:484"
"01-01-04-003","SKIP","structural placeholder unit, not real content","index.html:507-637"
"01-01-04-004","MATCH-NORMALIZED","","index.html:646"
"01-01-04-005","MATCH-NORMALIZED","","index.html:647"
"01-01-04-006","MATCH-NORMALIZED","","index.html:651"
"01-01-04-007","MATCH-NORMALIZED","","index.html:652"
"01-01-04-008","MATCH-NORMALIZED","","index.html:656"
"01-01-04-009","MATCH-NORMALIZED","","index.html:657"
"01-01-04-010","MATCH-NORMALIZED","","index.html:660-661"
"01-01-04-011","MATCH-NORMALIZED","","index.html:664-665"
"01-01-04-012","MATCH-EXACT","","index.html:668"
"01-01-04-013","MATCH-NORMALIZED","","script.js:56"
"01-01-04-014","SKIP","runtime-concatenated value placeholder — the JS source builds this string with a variable/method-call in the middle at runtime, so it can never literally match static source text; manually verified against source in the transcript","script.js:66"
"01-01-06-001","MATCH-NORMALIZED","","index.html:679"
"01-01-06-002","MATCH-NORMALIZED","","index.html:680"
"01-01-06-003","MATCH-NORMALIZED","","index.html:682"
"01-01-06-004","MATCH-NORMALIZED","","index.html:689"
"01-01-06-005","MATCH-NORMALIZED","","index.html:690"
"01-01-07-001","MATCH-NORMALIZED","","index.html:700"
"01-01-07-002","MATCH-NORMALIZED","","index.html:701"
"01-01-07-003","MATCH-NORMALIZED","","index.html:709-710"
"01-01-07-004","MATCH-NORMALIZED","","index.html:714"
"01-01-07-005","MATCH-NORMALIZED","","index.html:717"
"01-01-07-006","MATCH-NORMALIZED","","index.html:719"
"01-01-07-007","MATCH-NORMALIZED","","index.html:720"
"01-01-07-008","MATCH-NORMALIZED","","index.html:721"
"01-01-07-009","MATCH-NORMALIZED","","index.html:729"
"01-01-07-010","MATCH-NORMALIZED","","index.html:730"
"01-01-07-011","MATCH-NORMALIZED","","index.html:738"
"01-01-07-012","MATCH-NORMALIZED","","index.html:739"
"01-01-08-001","MATCH-NORMALIZED","","index.html:749"
"01-01-08-002","MATCH-NORMALIZED","","index.html:750"
"01-01-08-003","MATCH-NORMALIZED","","index.html:760-761"
"01-01-08-004","SKIP","consolidated multi-location (reused string) — spot-checked manually, not auto-verified","index.html:768, 770-772"
"01-01-08-005","MATCH-NORMALIZED","","index.html:781"
"01-01-08-006","MATCH-NORMALIZED","","index.html:782"
"01-01-08-007","MATCH-NORMALIZED","","index.html:785"
"01-01-08-008","MATCH-EXACT","","index.html:790"
"01-01-08-009","MATCH-NORMALIZED","","index.html:802"
"01-01-08-010","MATCH-NORMALIZED","","index.html:803"
"01-01-09-001","MATCH-NORMALIZED","","index.html:845"
"01-01-09-002","MATCH-NORMALIZED","","index.html:846"
"01-01-09-003","MATCH-NORMALIZED","","index.html:849"
"01-01-09-004","MATCH-EXACT","","index.html:854"
"01-01-09-005","MATCH-NORMALIZED","","index.html:866"
"01-01-09-006","MATCH-NORMALIZED","","index.html:867"
"01-01-10-001","MATCH-NORMALIZED","","index.html:909"
"01-01-10-002","MATCH-NORMALIZED","","index.html:910"
"01-01-10-003","MATCH-EXACT","","index.html:917"
"01-01-10-004","MATCH-NORMALIZED","","index.html:919"
"01-01-10-005","MATCH-NORMALIZED","","index.html:930"
"01-01-10-006","MATCH-NORMALIZED","","index.html:931"
"01-01-11-001","MATCH-NORMALIZED","","index.html:964"
"01-01-11-002","MATCH-NORMALIZED","","index.html:973"
"01-01-11-003","MATCH-NORMALIZED","","index.html:974"
"01-01-11-004","MATCH-NORMALIZED","","index.html:975"
"01-01-11-005","MATCH-NORMALIZED","","index.html:986"
"01-01-11-006","MATCH-NORMALIZED","","index.html:987"
"01-01-12-001","MATCH-NORMALIZED","","index.html:1014"
"01-01-12-002","MATCH-NORMALIZED","","index.html:1016"
"01-01-12-003","MATCH-NORMALIZED","","index.html:1024"
"01-01-12-004","MATCH-NORMALIZED","","index.html:1025"
"01-01-12-005","MATCH-NORMALIZED","","index.html:1033"
"01-01-12-006","MATCH-NORMALIZED","","index.html:1034"
"01-01-14-001","MATCH-NORMALIZED","","index.html:1074"
"01-01-14-002","MATCH-NORMALIZED","","index.html:1075"
"01-01-14-003","MATCH-NORMALIZED","","index.html:1086"
"01-01-14-004","MATCH-NORMALIZED","","index.html:1087"
"01-01-15-001","MATCH-NORMALIZED","","index.html:1097"
"01-01-15-002","MATCH-NORMALIZED","","index.html:1098"
"01-01-15-003","MATCH-NORMALIZED","","index.html:1100"
"01-01-15-004","MATCH-NORMALIZED","","index.html:1107"
"01-01-15-005","MATCH-NORMALIZED","","index.html:1108"
"01-01-16-001","MATCH-EXACT","","index.html:1124"
"01-01-16-002","MATCH-NORMALIZED","","index.html:1126"
"01-01-16-003","MATCH-NORMALIZED","","index.html:1128"
"01-01-16-004","MATCH-NORMALIZED","","index.html:1130"
"01-01-16-005","MATCH-NORMALIZED","","index.html:1133"
"01-01-16-006","MATCH-NORMALIZED","","index.html:1135"
"01-01-16-007","MATCH-NORMALIZED","","index.html:1140"
"01-01-16-008","MATCH-NORMALIZED","","index.html:1154"
"01-01-16-009","MATCH-NORMALIZED","","index.html:1155"
"01-01-16-010","MATCH-NORMALIZED","","index.html:1162"
"01-01-16-011","MATCH-NORMALIZED","","index.html:1164"
"01-01-16-012","MATCH-NORMALIZED","","index.html:1165"
"01-01-16-013","MATCH-NORMALIZED","","index.html:1172"
"01-01-16-014","MATCH-EXACT","","index.html:1185"
"01-01-16-015","MATCH-NORMALIZED","","index.html:1187"
"01-01-16-016","MATCH-NORMALIZED","","script.js:1724"
"01-01-16-017","MATCH-NORMALIZED","","script.js:1724"
"01-01-16-018","MATCH-NORMALIZED","","script.js:1801"
"01-01-16-019","SKIP","consolidated multi-location (reused string) — spot-checked manually, not auto-verified","script.js:1726, 1802 (mirrored again at script.js:2441 as S16_RESTORE_EXPLANATION)"
"01-01-17-001","MATCH-NORMALIZED","","index.html:1198"
"01-01-17-002","MATCH-NORMALIZED","","index.html:1199"
"01-01-17-003","MATCH-NORMALIZED","","index.html:1200"
"01-01-17-004","MATCH-NORMALIZED","","index.html:1203"
"01-01-17-005","MATCH-NORMALIZED","","index.html:1211"
"01-01-17-006","MATCH-NORMALIZED","","index.html:1212"
"01-01-18-001","MATCH-NORMALIZED","","index.html:1222"
"01-01-18-002","MATCH-NORMALIZED","","index.html:1231"
"01-01-18-003","MATCH-NORMALIZED","","index.html:1233"
"01-01-18-004","MATCH-NORMALIZED","","index.html:1235"
"01-01-18-005","MATCH-NORMALIZED","","index.html:1237"
"01-01-18-006","MATCH-NORMALIZED","","index.html:1239"
"01-01-18-007","MATCH-NORMALIZED","","index.html:1250-1253"
"01-01-18-008","MATCH-NORMALIZED","","index.html:1257"
"01-01-18-009","MATCH-NORMALIZED","","index.html:1264"
"01-01-18-010","MATCH-NORMALIZED","","index.html:1265"
"01-01-18-011","MATCH-NORMALIZED","","index.html:1274"
"01-01-18-012","MATCH-NORMALIZED","","index.html:1278"
"01-01-18-013","MATCH-NORMALIZED","","index.html:1279"
"01-01-18-014","MATCH-NORMALIZED","","index.html:1286"
"01-01-18-015","MATCH-NORMALIZED","","index.html:1288"
"01-01-18-016","MATCH-NORMALIZED","","index.html:1289"
"01-01-18-017","MATCH-NORMALIZED","","index.html:1295"
"01-01-18-018","MATCH-NORMALIZED","","index.html:1306"
"01-01-18-019","MATCH-EXACT","","index.html:1319"
"01-01-18-020","MATCH-NORMALIZED","","index.html:1321"
"01-01-18-021","SKIP","consolidated multi-location (reused string) — spot-checked manually, not auto-verified","script.js:1271, 1278"
"01-01-18-022","SKIP","consolidated multi-location (reused string) — spot-checked manually, not auto-verified","script.js:1280, 1284 (identical string reused across all 5 quiz screens: 1391/1396, 1486/1488, 1568/1571, 1687/1692, 2121/2126)"
"01-01-18-023","SKIP","consolidated multi-location (reused string) — spot-checked manually, not auto-verified","script.js:1289, 1296"
"01-01-18-024","SKIP","consolidated multi-location (reused string) — spot-checked manually, not auto-verified","script.js:1276, 1294 (identical relabel reused across all 5 quiz screens: 1387/1405, 1482/1494, 1565/1575, 1683/1706, 2117/2140)"
"01-01-18-025","SKIP","consolidated multi-location (reused string) — spot-checked manually, not auto-verified","script.js:1259-1262, mirrored at script.js:2442-2445 as S18_RESTORE_EXPLANATION"
"01-01-19-001","MATCH-NORMALIZED","","index.html:1332"
"01-01-19-002","MATCH-NORMALIZED","","index.html:1341"
"01-01-19-003","MATCH-NORMALIZED","","index.html:1343"
"01-01-19-004","MATCH-NORMALIZED","","index.html:1345"
"01-01-19-005","MATCH-NORMALIZED","","index.html:1347"
"01-01-19-006","MATCH-NORMALIZED","","index.html:1349"
"01-01-19-007","MATCH-NORMALIZED","","index.html:1360-1364"
"01-01-19-008","MATCH-NORMALIZED","","index.html:1368"
"01-01-19-009","MATCH-NORMALIZED","","index.html:1370"
"01-01-19-010","MATCH-NORMALIZED","","index.html:1376"
"01-01-19-011","MATCH-NORMALIZED","","index.html:1377"
"01-01-19-012","MATCH-NORMALIZED","","index.html:1388"
"01-01-19-013","MATCH-NORMALIZED","","index.html:1398"
"01-01-19-014","MATCH-NORMALIZED","","index.html:1400"
"01-01-19-015","MATCH-NORMALIZED","","index.html:1401"
"01-01-19-016","MATCH-NORMALIZED","","index.html:1409"
"01-01-19-017","MATCH-EXACT","","index.html:1422"
"01-01-19-018","MATCH-NORMALIZED","","index.html:1424"
"01-01-19-019","SKIP","consolidated multi-location (reused string) — spot-checked manually, not auto-verified","script.js:1382, 1389"
"01-01-19-020","SKIP","consolidated multi-location (reused string) — spot-checked manually, not auto-verified","script.js:1391, 1396"
"01-01-19-021","SKIP","consolidated multi-location (reused string) — spot-checked manually, not auto-verified","script.js:1400, 1407"
"01-01-19-022","SKIP","consolidated multi-location (reused string) — spot-checked manually, not auto-verified","script.js:1371-1374, mirrored at script.js:2446-2447 as S19_RESTORE_EXPLANATION"
"01-01-20-001","MATCH-NORMALIZED","","index.html:1435"
"01-01-20-002","MATCH-NORMALIZED","","index.html:1444"
"01-01-20-003","MATCH-NORMALIZED","","index.html:1446"
"01-01-20-004","MATCH-NORMALIZED","","index.html:1448"
"01-01-20-005","MATCH-NORMALIZED","","index.html:1450"
"01-01-20-006","MATCH-NORMALIZED","","index.html:1452"
"01-01-20-007","MATCH-NORMALIZED","","index.html:1463-1467"
"01-01-20-008","MATCH-NORMALIZED","","index.html:1470"
"01-01-20-009","MATCH-NORMALIZED","","index.html:1473"
"01-01-20-010","MATCH-NORMALIZED","","index.html:1477"
"01-01-20-011","MATCH-NORMALIZED","","index.html:1481"
"01-01-20-012","MATCH-NORMALIZED","","index.html:1485"
"01-01-20-013","MATCH-NORMALIZED","","index.html:1492"
"01-01-20-014","MATCH-NORMALIZED","","index.html:1493"
"01-01-20-015","MATCH-NORMALIZED","","index.html:1504"
"01-01-20-016","MATCH-NORMALIZED","","index.html:1514"
"01-01-20-017","MATCH-NORMALIZED","","index.html:1516"
"01-01-20-018","MATCH-NORMALIZED","","index.html:1517"
"01-01-20-019","MATCH-NORMALIZED","","index.html:1525"
"01-01-20-020","MATCH-EXACT","","index.html:1538"
"01-01-20-021","MATCH-NORMALIZED","","index.html:1540"
"01-01-20-022","SKIP","consolidated multi-location (reused string) — spot-checked manually, not auto-verified","script.js:1481, 1483"
"01-01-20-023","SKIP","consolidated multi-location (reused string) — spot-checked manually, not auto-verified","script.js:1486, 1488"
"01-01-20-024","SKIP","consolidated multi-location (reused string) — spot-checked manually, not auto-verified","script.js:1492, 1494"
"01-01-20-025","SKIP","consolidated multi-location (reused string) — spot-checked manually, not auto-verified","script.js:1473-1474, mirrored at script.js:2448-2449 as S20_RESTORE_EXPLANATION"
"01-01-21-001","MATCH-NORMALIZED","","index.html:1551"
"01-01-21-002","MATCH-NORMALIZED","","index.html:1560"
"01-01-21-003","MATCH-NORMALIZED","","index.html:1562"
"01-01-21-004","MATCH-NORMALIZED","","index.html:1564"
"01-01-21-005","MATCH-NORMALIZED","","index.html:1566"
"01-01-21-006","MATCH-NORMALIZED","","index.html:1568"
"01-01-21-007","MATCH-NORMALIZED","","index.html:1579-1581"
"01-01-21-008","MATCH-NORMALIZED","","index.html:1585"
"01-01-21-009","MATCH-NORMALIZED","","index.html:1592"
"01-01-21-010","MATCH-NORMALIZED","","index.html:1593"
"01-01-21-011","MATCH-NORMALIZED","","index.html:1604"
"01-01-21-012","MATCH-NORMALIZED","","index.html:1614"
"01-01-21-013","MATCH-NORMALIZED","","index.html:1616"
"01-01-21-014","MATCH-NORMALIZED","","index.html:1617"
"01-01-21-015","MATCH-NORMALIZED","","index.html:1622"
"01-01-21-016","MATCH-NORMALIZED","","index.html:1623"
"01-01-21-017","MATCH-NORMALIZED","","index.html:1631"
"01-01-21-018","MATCH-EXACT","","index.html:1644"
"01-01-21-019","MATCH-NORMALIZED","","index.html:1646"
"01-01-21-020","SKIP","consolidated multi-location (reused string) — spot-checked manually, not auto-verified","script.js:1568, 1571"
"01-01-21-021","SKIP","consolidated multi-location (reused string) — spot-checked manually, not auto-verified","script.js:1574, 1576"
"01-01-21-022","SKIP","consolidated multi-location (reused string) — spot-checked manually, not auto-verified","script.js:1558-1560, mirrored at script.js:2450-2452 as S21_RESTORE_EXPLANATION"
"01-01-22-001","MATCH-NORMALIZED","","index.html:1657"
"01-01-22-002","MATCH-NORMALIZED","","index.html:1666"
"01-01-22-003","MATCH-NORMALIZED","","index.html:1668"
"01-01-22-004","MATCH-NORMALIZED","","index.html:1670"
"01-01-22-005","MATCH-NORMALIZED","","index.html:1672"
"01-01-22-006","MATCH-NORMALIZED","","index.html:1674"
"01-01-22-007","SKIP","sentence is interrupted mid-line by an inline info-icon widget (button+svg+tooltip-panel) in the raw file, breaking substring contiguity — manually verified against source in the transcript","index.html:1685-1698"
"01-01-22-008","MATCH-NORMALIZED","","index.html:1687"
"01-01-22-009","MATCH-NORMALIZED","","index.html:1693 (#s22-help-tooltip)"
"01-01-22-010","MATCH-NORMALIZED","","index.html:1701"
"01-01-22-011","MATCH-NORMALIZED","","index.html:1704"
"01-01-22-012","MATCH-NORMALIZED","","index.html:1708"
"01-01-22-013","MATCH-NORMALIZED","","index.html:1712"
"01-01-22-014","MATCH-NORMALIZED","","index.html:1716"
"01-01-22-015","MATCH-NORMALIZED","","index.html:1723"
"01-01-22-016","MATCH-NORMALIZED","","index.html:1724"
"01-01-22-017","MATCH-NORMALIZED","","index.html:1735"
"01-01-22-018","MATCH-NORMALIZED","","index.html:1745"
"01-01-22-019","MATCH-NORMALIZED","","index.html:1747"
"01-01-22-020","MATCH-NORMALIZED","","index.html:1748"
"01-01-22-021","MATCH-NORMALIZED","","index.html:1756"
"01-01-22-022","MATCH-EXACT","","index.html:1769"
"01-01-22-023","MATCH-NORMALIZED","","index.html:1771"
"01-01-22-024","SKIP","consolidated multi-location (reused string) — spot-checked manually, not auto-verified","script.js:1679, 1685"
"01-01-22-025","SKIP","consolidated multi-location (reused string) — spot-checked manually, not auto-verified","script.js:1687, 1692"
"01-01-22-026","SKIP","consolidated multi-location (reused string) — spot-checked manually, not auto-verified","script.js:1702, 1708"
"01-01-22-027","SKIP","consolidated multi-location (reused string) — spot-checked manually, not auto-verified","script.js:1665-1666, mirrored at script.js:2453-2454 as S22_RESTORE_EXPLANATION"
"01-01-23-001","MATCH-NORMALIZED","","index.html:1782"
"01-01-23-002","MATCH-NORMALIZED","","index.html:1791"
"01-01-23-003","MATCH-NORMALIZED","","index.html:1793"
"01-01-23-004","MATCH-NORMALIZED","","index.html:1795"
"01-01-23-005","MATCH-NORMALIZED","","index.html:1797"
"01-01-23-006","MATCH-NORMALIZED","","index.html:1799"
"01-01-23-007","MATCH-NORMALIZED","","index.html:1807-1810"
"01-01-23-008","MATCH-NORMALIZED","","index.html:1813"
"01-01-23-009","MATCH-NORMALIZED","","index.html:1816"
"01-01-23-010","MATCH-NORMALIZED","","index.html:1820"
"01-01-23-011","MATCH-NORMALIZED","","index.html:1824"
"01-01-23-012","MATCH-NORMALIZED","","index.html:1833"
"01-01-23-013","MATCH-NORMALIZED","","index.html:1843"
"01-01-23-014","MATCH-NORMALIZED","","index.html:1845"
"01-01-23-015","MATCH-NORMALIZED","","index.html:1846"
"01-01-23-016","MATCH-NORMALIZED","","index.html:1854"
"01-01-23-017","MATCH-EXACT","","index.html:1867"
"01-01-23-018","MATCH-NORMALIZED","","index.html:1869"
"01-01-23-019","SKIP","consolidated multi-location (reused string) — spot-checked manually, not auto-verified","script.js:2113, 2119"
"01-01-23-020","SKIP","consolidated multi-location (reused string) — spot-checked manually, not auto-verified","script.js:2121, 2126"
"01-01-23-021","SKIP","consolidated multi-location (reused string) — spot-checked manually, not auto-verified","script.js:2136, 2142"
"01-01-23-022","SKIP","consolidated multi-location (reused string) — spot-checked manually, not auto-verified","script.js:2100-2101, mirrored at script.js:2455-2456 as S23_RESTORE_EXPLANATION"
"01-01-99-001","MATCH-NORMALIZED","","index.html:6"
"01-01-99-002","SKIP","consolidated multi-location (reused string) — spot-checked manually, not auto-verified","index.html:15 (aria-label + title), index.html:20 (visible span)"
"01-01-99-003","MATCH-NORMALIZED","","index.html:1886"
"01-01-99-004","MATCH-NORMALIZED","","index.html:1887"
"01-01-99-005","MATCH-NORMALIZED","","index.html:1888"
"01-01-99-006","MATCH-NORMALIZED","","index.html:1891"
"01-01-99-007","MATCH-NORMALIZED","","index.html:1894"
"01-01-99-008","MATCH-NORMALIZED","","index.html:1897"
"01-01-99-009","MATCH-NORMALIZED","","index.html:1898"
"01-01-99-010","MATCH-NORMALIZED","","index.html:1899"
"01-01-99-011","MATCH-NORMALIZED","","index.html:1903"
"01-01-99-012","MATCH-NORMALIZED","","index.html:1907"
"01-01-99-013","MATCH-NORMALIZED","","index.html:1908"
"01-01-99-014","MATCH-NORMALIZED","","index.html:1913"
"01-01-99-015","MATCH-NORMALIZED","","index.html:1914"
"01-01-99-016","MATCH-NORMALIZED","","index.html:1929"
"01-01-99-017","MATCH-NORMALIZED","","index.html:1930"
"01-01-99-018","MATCH-NORMALIZED","","index.html:1932"
"01-01-99-019","MATCH-NORMALIZED","","index.html:1944"
"01-01-99-020","MATCH-NORMALIZED","","index.html:1945"
"01-01-99-021","MATCH-NORMALIZED","","index.html:1947"
"01-01-99-022","MATCH-NORMALIZED","","index.html:1948"
"01-01-99-023","MATCH-NORMALIZED","","index.html:1957"
"01-01-99-024","SKIP","consolidated multi-location (reused string) — spot-checked manually, not auto-verified","index.html:1958 (identical on all 7 zoom modals: 1958,1974,1990,2006,2022,2038,2054)"
"01-01-99-025","MATCH-NORMALIZED","","index.html:1973"
"01-01-99-026","MATCH-NORMALIZED","","index.html:1989"
"01-01-99-027","MATCH-NORMALIZED","","index.html:2005"
"01-01-99-028","MATCH-NORMALIZED","","index.html:2021"
"01-01-99-029","MATCH-NORMALIZED","","index.html:2037"
"01-01-99-030","MATCH-NORMALIZED","","index.html:2053"
"01-01-99-031","MATCH-NORMALIZED","","script.js:546-770 (s5Enter/s5Select/s5Submit/s5CheckBothDone/s5Q2Toggle/s5Q2Select/s5Q2Submit)"
"01-01-99-032","SKIP","dead/unreachable code block — line ranges approximate per agent report","script.js:546-770"
"01-01-99-033","SKIP","dead/unreachable code block — line ranges approximate per agent report","script.js:546-770"
"01-01-99-034","SKIP","dead/unreachable code block — line ranges approximate per agent report","script.js:546-770"
"01-01-99-035","MATCH-NORMALIZED","","script.js:1937-1965 (s13Enter/s13Answer)"
"01-02-00-001","MATCH-NORMALIZED","","index.html:28"
"01-02-00-002","MATCH-NORMALIZED","","index.html:29"
"01-02-00-003","MATCH-NORMALIZED","","index.html:30"
"01-02-00-004","MATCH-NORMALIZED","","index.html:33"
"01-02-00-005","MATCH-NORMALIZED","","index.html:39"
"01-02-00-006","MATCH-NORMALIZED","","index.html:40"
"01-02-01-001","MATCH-NORMALIZED","","index.html:51"
"01-02-01-002","MATCH-NORMALIZED","","index.html:56"
"01-02-01-003","MATCH-NORMALIZED","","index.html:61"
"01-02-01-004","MATCH-NORMALIZED","","index.html:66"
"01-02-01-005","MATCH-NORMALIZED","","index.html:80-85"
"01-02-01-006","MATCH-NORMALIZED","","index.html:145"
"01-02-01-007","MATCH-NORMALIZED","","index.html:146"
"01-02-01-008","MATCH-NORMALIZED","","index.html:158"
"01-02-01-009","MATCH-NORMALIZED","","index.html:168"
"01-02-01-010","MATCH-NORMALIZED","","index.html:170"
"01-02-01-011","MATCH-NORMALIZED","","index.html:171"
"01-02-01-012","MATCH-NORMALIZED","","index.html:177"
"01-02-01-013","MATCH-EXACT","","index.html:190"
"01-02-01-014","MATCH-NORMALIZED","","index.html:192"
"01-02-01-015","MATCH-NORMALIZED","","script.js:155 (announce() at :161)"
"01-02-01-016","SKIP","consolidated multi-location (reused string) — spot-checked manually, not auto-verified","script.js:175 (announce() at :179; identical string reused at 345/349, 529, 647/651, 815/819, 959/965, 1131/1136 and restore-mirrors 1445/1547)"
"01-02-01-017","MATCH-NORMALIZED","","script.js:198 (announce() at :199)"
"01-02-01-018","SKIP","consolidated multi-location (reused string) — spot-checked manually, not auto-verified","script.js:159 (identical relabel reused at 203, 328, 371, 517, 543, 643, 660, 798, 843, 951, 976, 1126, 1150 and restore-mirrors 1438, 1540)"
"01-02-01-019","MATCH-NORMALIZED","","script.js:138-139 (mirrored verbatim at script.js:1380-1381 as S26_RESTORE_EXPLANATION)"
"01-02-02-001","MATCH-NORMALIZED","","index.html:202"
"01-02-02-002","MATCH-NORMALIZED","","index.html:204"
"01-02-02-003","MATCH-NORMALIZED","","index.html:206"
"01-02-02-004","MATCH-NORMALIZED","","index.html:208"
"01-02-02-005","MATCH-NORMALIZED","","index.html:219-222"
"01-02-02-006","MATCH-NORMALIZED","","index.html:228"
"01-02-02-007","MATCH-NORMALIZED","","index.html:229"
"01-02-02-008","MATCH-NORMALIZED","","index.html:245"
